mb_norm_id,max_prob_all_reviews_for_MB,HT_max_lex_score,HT_avg_lex_score
26.17773:-80.20358#,1,5,1.5
26.70772:-80.22763#,1,5,1.5
28.33377:-81.50176#,1,5,1.44
27.92965:-82.50619#104,1,5,1.38
26.31748:-80.14786#,0.99999,5,1.31
28.04580:-82.50527#,1,5,1.31
27.87987:-82.81908#,1,5,1.29
26.18868:-80.12604#,1,5,1.27
28.33677:-81.39864#,1,5,1.27
25.71310:-80.41424#,1,5,1.25
28.45770:-81.45931#,0.99994,5,1.22
25.88154:-80.29186#14,0.99999,5,1.21
28.59180:-81.37148#,1,5,1.2
28.33515:-81.48042#,1,5,1.19
27.97490:-82.82844#,0.50918,5,1.17
27.29919:-82.48060#,1,5,1.1
27.25854:-82.51883#,1,5,1.09
28.35511:-80.74753#,1,5,1.09
26.56565:-81.87146#,1,5,1.08
26.18615:-80.20414#,1,5,1.06
29.05034:-82.03728#,1,5,1.05
26.04603:-80.21814#,1,5,1
26.18149:-80.11903#,1,5,1
26.29981:-80.15238#,1,5,1
27.99731:-82.55610#,1,5,1
28.33382:-81.49547#,1,5,1
28.49636:-81.46052#,1,5,1
28.66852:-81.22873#,0.98527,5,1
30.50523:-84.24683#2,1,5,1
26.15422:-80.25644#,1,5,0.98
26.15066:-80.25884#,1,5,0.96
25.80807:-80.32658#17,1,5,0.95
30.51099:-87.22764#,0.99999,5,0.95
26.54924:-80.12149#9,1,5,0.94
26.61654:-81.94134#,1,5,0.93
26.20422:-80.13475#,1,5,0.92
25.72931:-80.24141#R1,0.93493,5,0.9
27.85687:-82.69504#,1,5,0.9
29.18091:-80.98468#,0.95798,5,0.9
26.11632:-80.13945#,0.71465,5,0.89
28.99788:-81.99819#,1,5,0.89
26.09931:-80.12869#,0.99999,5,0.88
26.34957:-80.22848#,0.79014,5,0.88
27.89298:-82.52427#,1,5,0.88
25.86037:-80.12071#,1,5,0.86
27.62787:-80.38989#,1,5,0.85
26.80731:-80.07371#A,1,5,0.83
25.77471:-80.26415#,1,5,0.82
28.20846:-82.67809#,1,5,0.82
28.68619:-81.33117#,1,5,0.81
28.44236:-81.42846#10,1,5,0.79
28.48114:-81.47428#,1,5,0.77
30.60220:-87.08133#,0.99985,5,0.75
28.82103:-81.67926#,0.99998,5,0.74
27.94457:-82.50059#,1,5,0.73
27.83881:-82.70997#,1,5,0.72
26.79577:-80.05406#,1,5,0.71
26.36387:-80.08968#6,0.98451,5,0.7
27.30318:-82.52872#,0.99861,5,0.7
26.60910:-81.87267#,1,5,0.69
30.42839:-84.22127#5,0.99996,5,0.68
28.31912:-80.71341#,1,5,0.67
25.70476:-80.28515#,0.97843,5,0.65
27.95885:-82.50181#,1,5,0.61
30.59403:-81.44501#,0.90022,5,0.58
28.40693:-81.44841#,0.51179,5,0.57
30.21878:-81.58016#2,1,5,0.57
25.93444:-80.15228#,0.53607,5,0.54
25.85876:-80.18234#,0.96767,5,0.53
27.26802:-80.43232#,0.90327,5,0.53
28.11098:-82.75359#,0.96536,5,0.53
27.28140:-82.53213#,0.7526,5,0.5
30.45981:-84.22500#,0.87682,5,0.48
28.22339:-82.38115#,1,4,2.2
30.16244:-81.75059#136,0.99966,4,1.6
26.47045:-80.06844#,1,4,1.44
26.02410:-80.22871#,1,4,1.43
26.00971:-80.24382#,0.99999,4,1.41
26.98980:-82.10866#,1,4,1.38
28.05423:-82.58192#,0.99999,4,1.35
27.37311:-82.55341#,1,4,1.33
28.30481:-81.46023#,1,4,1.33
26.16969:-80.10096#,0.99989,4,1.29
26.29304:-81.80118#,1,4,1.26
27.99637:-82.44507#,0.99998,4,1.2
26.45702:-80.06715#,1,4,1.18
25.99695:-80.14643#,1,4,1.16
27.99562:-82.38651#,1,4,1.16
28.06885:-82.44375#135,1,4,1.15
26.34395:-80.08811#103A,0.99986,4,1.14
28.30418:-81.43885#,1,4,1.14
